 Draw_LOAD2, Draw_LOAD3, Draw_STN01, Draw_STN02, Draw_STN03, Draw_STN04, Draw_STN05, Draw_STN06, Draw_STN07, Draw_STN08, Pin_LOAD2, Pin_LOAD3, Pin_STN01, Pin_STN02, Pin_STN03, Pin_STN04, Pin_STN05, Pin_STN06,Pin_STN07,Pin_STN08
1.04,-0.58,-2.85,-2.34,-3.35,-4.31,5.9,2.49,-1.48,-1.66,59.89,18.64,-35.29,-15.5,-21.84,-8.6,13.74,0.64,4.17,-3.31
0.55,3.82,-2.28,-0.9,-2.21,-0.01,5.62,1.92,-2.34,0.63,60.99,21.21,-39.87,-9.48,-26.13,-8.02,11.73,5.8,-1.28,-1.02
0.67,-2.1,-6.58,1.96,-3.64,-4.6,5.62,-0.09,1.39,-4.53,62.64,23.71,-42.17,-10.34,-23.55,-8.02,12.31,3.22,2.16,-5.32
-8.48,-0.09,5.46,1.96,-2.21,-0.87,5.62,1.92,-2.91,1.78,63.62,20.05,-43.6,-12.35,-25.85,-6.88,12.59,-10.53,4.74,-1.88
-1.83,0.52,4.03,-3.48,-3.07,0.27,6.48,3.35,3.97,-4.24,64.53,24.32,-41.31,-16.08,-29.57,-6.59,12.88,-0.5,-0.13,-5.6
1.65,-0.76,1.45,-2.05,-2.78,-2.88,6.48,-1.81,0.82,0.34,65.88,26.52,-42.74,-8.34,-24.41,-9.46,14.03,-1.93,3.88,-2.16
2.5,-2.41,-4.28,3.68,-3.35,1.13,6.76,-0.09,7.41,-0.8,65.57,26.7,-44.46,-14.93,-20.98,-8.02,14.03,0.93,1.88,6.72
1.59,9.49,-2.85,-4.91,-2.49,-1.16,6.48,1.63,7.69,-1.66,71.06,27.68,-43.89,-16.08,-29.29,-15.47,13.45,0.93,2.16,-1.02
0.73,-0.52,1.73,-10.65,-2.78,-1.16,5.62,-1.23,-1.19,-0.8,68.19,28.04,-44.17,-12.64,-30.15,-10.32,11.73,1.79,6.75,1.85
1.89,-0.76,4.03,-7.21,-3.07,-3.17,5.04,1.63,-3.77,3.21,67.95,29.81,-44.74,-17.51,-29.29,-9.17,16.32,-0.21,4.46,-3.02
0.49,-0.7,8.32,-0.33,-4.21,-0.87,5.9,0.77,-0.9,12.09,71.43,28.59,-47.04,-17.22,-28.71,-12.61,16.03,2.08,4.17,2.13
0.98,-0.88,-2.56,0.82,-1.92,-2.31,5.62,1.06,6.83,2.92,75.4,36.16,-47.04,-18.08,-31.29,-10.32,15.17,-0.21,5.03,-4.74
0.92,-0.39,-3.42,3.11,-13.95,-0.01,7.91,-0.37,0.24,-2.52,68.26,30.36,-47.32,-15.5,-34.73,-10.6,16.61,2.94,3.02,-2.74
2.08,-0.39,-2.28,-4.91,-6.79,-0.01,5.62,-0.09,1.68,-1.09,80.89,35.67,-49.62,-19.23,-29.57,-18.34,14.03,3.22,4.46,-1.88
2.38,-0.15,-3.42,-2.05,23.3,-2.88,9.63,-1.81,1.39,-3.09,83.27,28.1,-49.33,-16.36,-36.16,-10.32,15.17,1.22,4.46,-5.6
0.43,-0.64,-2.56,-4.91,5.24,-4.89,8.77,-0.66,1.39,-3.09,73.99,36.83,-50.48,-16.94,-30.72,-12.61,21.48,-1.65,3.88,-5.6
1.46,-1.43,-3.14,-4.63,0.66,-0.59,9.34,1.63,1.1,-2.52,73.87,33.17,-51.05,-14.64,-31.86,-10.89,14.89,5.23,5.03,-1.59
0.85,-1.13,-2.85,-0.04,-1.35,-7.75,7.34,-0.95,0.53,0.92,85.53,37.14,-56.21,-13.78,-32.72,-10.6,17.47,2.36,8.18,-5.32
0.92,-0.58,-4.28,-2.91,-1.92,1.7,6.76,0.49,0.53,-3.38,79.61,34.88,-52.48,-20.37,-31.86,-8.6,16.32,5.23,3.88,-4.46
12.21,-1.49,-4.28,-4.91,-2.21,-22.94,9.05,1.92,-0.04,1.49,81.5,36.77,-53.91,-19.23,-34.44,-16.91,16.89,0.93,7.32,-2.45
-5.31,0.16,-2.28,0.53,-0.77,2.28,5.33,1.63,0.53,-1.38,79.79,50.44,-52.2,-22.38,-32.44,-10.6,19.18,-2.51,2.45,-0.73
20.45,-3.08,-1.99,-2.62,-2.49,1.7,10.77,-1.23,0.53,-2.81,85.53,40.31,-56.78,-17.51,-34.16,-10.6,15.17,6.66,8.18,-5.32
-6.41,0.7,1.73,-1.19,-1.35,0.27,9.63,-0.37,1.39,0.92,83.88,43.79,-57.64,-15.79,-33.87,-8.6,18.9,2.94,6.75,0.13
1.16,1.19,-4,-0.33,-1.35,0.85,-4.13,-0.95,1.1,-2.81,83.09,44.22,-55.35,-24.39,-33.3,-13.18,28.93,1.22,5.03,-5.6
0.92,4.61,-2.85,0.24,-0.49,-0.87,17.94,-6.39,0.53,-2.24,84.25,44.77,-58.5,-12.64,-34.73,-9.74,18.9,3.51,8.47,-5.03
0.73,-3.32,-1.99,3.68,-0.77,-3.74,14.79,3.64,1.68,-0.52,86.57,45.13,-61.94,-20.95,-37.31,-12.04,21.76,1.79,15.06,-5.6
0.92,6.63,-4.28,-4.34,-0.77,-2.02,6.48,1.06,-3.77,0.34,87.73,48.55,-63.37,-20.95,-35.59,-6.88,19.76,-1.65,9.04,-5.03
0.92,-4.54,8.04,-2.91,-0.49,0.85,6.19,0.77,-0.9,-1.38,89.07,46.11,-59.93,-24.1,-40.46,-8.31,21.48,8.1,9.61,-1.02
1.16,-0.39,-4,1.96,-1.06,-0.87,7.62,-1.23,-2.05,-1.38,93.65,51.17,-62.22,-22.95,-33.58,-9.46,20.62,8.95,8.18,-5.03
-1.22,-0.03,-1.99,1.68,0.37,-1.45,9.05,-3.52,2.82,0.92,92.85,49.04,-63.37,-26.1,-44.19,-11.18,21.76,3.51,9.9,-5.6
0.06,-1.37,0.01,11.42,-1.63,-1.73,8.77,-2.66,-0.04,-2.24,98.47,52.46,-63.66,-25.53,-38.46,-8.02,18.61,5.8,6.75,-4.46
0.49,-0.45,4.03,-1.48,-1.35,1.7,8.77,3.93,2.25,0.63,90.53,48.73,-64.52,-19.23,-38.17,-14.9,23.2,4.37,11.33,-3.02
1.65,-0.94,-2.85,-3.2,-0.77,-1.16,8.48,0.49,-3.2,-3.09,92.24,59.72,-65.38,-20.95,-38.46,-24.64,21.76,3.8,12.19,-5.32
0.43,-0.64,-6.86,2.82,0.95,-0.01,9.63,0.49,-10.07,-7.68,95.54,48.06,-61.08,-24.39,-37.31,-3.73,16.03,7.52,18.78,-3.6
1.83,-1.43,-0.56,-3.2,-7.65,-4.6,7.91,-0.37,-5.49,0.34,96.39,57.22,-71.97,-28.4,-42.47,-10.89,17.18,5.52,13.05,-3.02
0.73,-0.64,-1.42,-3.77,4.38,-1.16,9.63,1.06,19.16,-1.95,97.37,53.62,-59.93,-27.54,-39.31,-12.32,21.48,5.23,10.76,-3.88
0.49,-0.15,-4.57,1.1,-1.92,-2.88,10.49,1.06,-0.04,-2.52,98.71,57.89,-72.54,-28.68,-41.61,-10.32,28.35,5.23,13.34,-5.6
2.99,-0.88,-1.42,12.57,-1.06,5.14,6.19,1.06,0.53,-2.24,100.42,57.34,-65.95,-32.41,-42.47,-10.89,23.48,11.25,16.2,-5.6
-1.89,-2.16,-1.71,-3.77,-1.92,-2.88,6.19,-0.09,0.82,-2.52,99.75,56.67,-72.25,-18.08,-41.89,-10.6,24.06,7.81,10.19,-5.6
-2.81,-0.52,0.59,-0.33,-0.2,-1.16,0.46,-0.37,2.25,-6.82,100.3,59.96,-70.25,-23.24,-43.61,-17.19,21.48,1.22,15.34,-5.6
3.17,-1.92,-1.13,-0.62,-3.07,-1.73,-0.97,2.21,-2.34,-6.25,107.56,61.06,-70.82,-25.25,-41.89,-10.89,24.63,9.53,12.77,-1.88
-9.7,1.19,-1.42,-2.91,1.81,1.13,4.47,-0.09,-1.19,-0.8,105.18,61.67,-75.41,-19.8,-46.48,-10.6,23.2,7.52,14.77,-2.16
0.06,1.01,-2.85,-2.91,8.97,-2.88,16.51,0.2,0.53,-2.24,104.88,63.26,-71.39,-34.41,-43.04,-12.61,24.34,3.51,19.93,-3.6
-0.73,0.22,-5.14,3.11,-6.22,0.27,-0.97,3.93,-1.76,0.34,106.89,61.8,-77.12,-26.96,-42.75,-12.89,25.78,4.08,11.33,-4.74
0.43,-5.34,-3.42,3.11,-1.06,-2.59,8.77,0.49,1.68,0.92,106.65,62.53,-75.98,-21.81,-49.63,-12.61,25.2,6.66,9.9,-1.59
1.22,-5.58,-10.87,-4.63,0.09,-3.45,8.77,-1.81,-5.2,0.06,107.99,64.79,-76.55,-32.41,-45.91,-13.18,26.35,6.38,15.34,-5.6
1.16,-1.31,0.01,2.54,-1.35,-2.88,8.48,12.24,-2.91,-3.95,106.28,67.9,-74.55,-32.41,-45.33,-14.61,27.21,4.66,15.92,-4.46
0.12,-2.22,1.16,1.1,-2.49,1.13,6.76,-9.54,-4.91,0.92,108.97,66.49,-76.84,-31.55,-47.34,-10.89,23.2,8.1,15.06,-2.16
1.65,-0.64,3.45,-10.07,-0.77,3.14,5.62,0.77,3.97,-4.53,110.31,71.01,-79.13,-33.56,-46.19,-9.17,30.36,4.66,13.91,-3.88
6.84,-1.74,0.01,2.54,-0.77,-1.16,7.91,-0.66,3.68,8.94,112.63,64.48,-80.85,-33.56,-45.91,-12.32,26.06,6.66,15.92,-3.31
-1.65,-0.09,-0.27,1.96,-3.35,1.99,5.04,-0.37,4.83,9.51,114.95,71.13,-83.43,-33.84,-47.91,-10.32,30.65,1.79,12.77,-2.16
